AVAILABLE LANGUAGES,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
GraphicsSettings,,,Графічныя налады,图像设置,,,Graphics Settings,,Paramètres Graphiques,,,,,,,,,Графические настройки,,,
FoldersSettings,,,Налады тэчак,文件夹设置,,,Folder Settings,,Paramètres des Dossiers,,,,,,,,,Настройки папок,,,
StatsSettings,,,Налады статыстык,统计设置,,,Stats Settings,,Paramètres des Statistiques,,,,,,,,,Настройки статистик,,,
HeatMapSettings,,,Налады цеплавой карты,眼动追踪地图设置,,,HeatMap Settings,,Paramètres de la Carte de Chaleur,,,,,,,,,Настройки тепловой карты,,,
AOISettings,,,Налады зоны цікавасці,关键注视区设置,,,A.O.I Settings,,Paramètres des Zones d'Intérêt (AOI),,,,,,,,,Настройки зоны интереса,,,
MoreStatsSettings,,,Дадатковыя налады статыстык,更多统计设置,,,More Stats Settings,,Plus de Paramètres de Statistiques,,,,,,,,,Дополнительные настройки статистик,,,

# GENERAL SETTINGS
Reset,Reset,اعادة تعيين,Зброс,重置,zurücksetzen,επαναφορά,reset,nollaus,réinitialiser,रीसेट,Resetiraj,menetapkan semula,Resetta,,Reset,głośność efektów,*restabelecer,Сброс,Restablecimiento,Đặt lại,menetapkan semula

# LANGUAGE SETTINGS
Lang,Gjuha,لغة,Мова,语言,Sprache,Γλώσσα,Language,kieli,Langue,भाषा,Jezik,Bahasa,Lingua,,Taal,Język,lingua,Язык,Idioma,Ngôn ngữ,Bahasa
CreateShortcut,,,,,,,Create Game Shortcuts,,Créer des raccourcis vers les jeux,,,,,,,,,,,,
SelectGame,,,,,,,Select a Game,,Sélectionner un Jeu,,,,,,,,,,,,
SelectVariant,,,,,,,Select a Variant,,Sélectionner une Variante,,,,,,,,,,,,
Generate,,,,,,,Generate Shortcut,,Générer le raccourcis,,,,,,,,,,,,

# BERA SETTINGS
TransitionTime,,,,,,,Transition time,,Temps de transition,,,,,,,,,,,,
DelayBeforeSelection,,,,,,,Delay before selection,,Délai avant sélection,,,,,,,,,,,,
ActivateAutomaticModeQuestion,,,,,,,Activate automatic mode for questions,,Activer le mode automatique pour les questions,,,,,,,,,,,,
QuestionTime,,,,,,,Time for ask the question,,Temps pour énoncer la question,,,,,,,,,,,,
HorizontalImages,,,,,,,Columnar images,,Images en colonnes,,,,,,,,,,,,
ActivateSound,,,,,,,Activate sound,,Activer le son,,,,,,,,,,,,
Feedback,,,,,,,Feedback,,Retour utilisateur,,,,,,,,,,,,
nothing,,,,,,,Nothing,,Rien,,,,,,,,,,,,
standard,,,,,,,Standard,,Standard,,,,,,,,,,,,
framed,,,,,,,Framed,,Encadrement,,,,,,,,,,,,
SeeResult,,,,,,,See result,,Voir résultat,,,,,,,,,,,,
ResultDir,,,,,,,Result folder,,Dossier des résultat,,,,,,,,,,,,
SeeFolder,,,,,,,See folder,,voir dossier,,,,,,,,,,,,

# GAME SETTINGS
QuitKey,Tasti për të dalë,مفتاح الخروج,Кнопка выхаду,退出键,,,Quit Key,,Bouton pour quitter,,,,Tasto per uscire,,Stop toets,,,Кнопка выхода,Tecla para salir,,
QuestionLength,Kohëzgjatja e pyetjeve,مدة ظهور الاسئلة,Працягласць прайгравання пытання,问题长度,Dauer der Veröffentlichung von Fragen,Μήκος εμφάνισης ερωτήματος,Question Display Length,kysymys,Durée d’affichage des questions,,Dužina prikazivanja pitanja,Panjang Paparan Soalan,Durata esposizione della domanda,,Hoe lang de vraag tonen?,Długość wyświetlania pytania,*Pergunta Display Length,Длительность воспроизведения вопроса,Duración de visualización de las preguntas,Thời gian hiển thị câu hỏi,Panjang Paparan Soalan
ReaskQuestionOnFail,,,Задаць пытанне зноў калі няправільны адказ,,,,Ask the question again in case it's answered incorrectly,,Reposer la question en cas de mauvaise réponse,,,,,,,,,Задать вопрос снова если неправильный ответ,,,
EnableRewardSound,Aktivizo audion për shpërblimet,تفعيل الصوت (احسنت),Ўключыць гук ўзнагароджання,打开奖励音效,Aktiviere den Sound Bravo,Ενεργοποίηση ήχου ανταμοιβής,Enable Reward sound,sallia palkkioääni,Activer le son « bravo »,,Aktiviraj zvuk za,Dayakan bunyi Ganjaran,Attiva suono ricompensa,,Activeer beloningsgeluid,Włącz dźwięk nagrody,Activar o som a « Bravo »,Включить звук вознаграждения,Activar el sonido Bravo,Bật tiếng,Dayakan bunyi Ganjaran
Limiter Time,,,Абмежавальнік часу,时间限制器,,,Time Limiter,,Limiteur de Temps,,,,,,,,,Ограничитель времени,,,
Limiter Score,,,Абмежавальнік выніку,分数限制器,,,Score Limiter,,Limiteur de Score,,,,,,,,,Ограничитель счёта,,,
Score,,,вынік,分数,,,Score,,Score,,,,,,,,,счёт,,,
Time,,,Час (у секундах),时间 (秒),,,Time (seconds),,Temps (secondes),,,,,,,,,Время (в секундах),,,

# EYE-TRACKER SETTINGS
EyeTracker,Eye Tracker,تعقب العين,Айтрэкер,眼球跟踪,Eyetracker,Συσκευή εντοπισμού ματιού,Eye Tracker,katseohjattava,Oculomètre,,Instrument za praćenje pogleda (Eye Tracker),Tracker Mata,Tracciatore oculare (eye tracker),,Oogsturingsmodule,tropiciel oka,Seguimento do olhar,АйТрекер,Eye tracker,Theo dõi ánh mắt,Tracker Mata
FixationLength,Koha e fiksimit (sekonda),مدة التثبيت (بالثواني),Час фіксацыі (у секундах),注视时长（秒）,Dauer der Fixierung (Sekunden),Μήκος σταθεροποίησης (δευτερόλεπτα),Fixation Length (seconds),kiinnittämisen pituus,Durée de la fixation (secondes),,Dužina fiksiranog pogleda (u sekundama),Panjang Penekanan (saat),Durata fissazione (secondi),,Fixatietijd (seconden),Czas poprawki (sekundy),Duracaõ de fixação,Длина фиксации (в секундах),Duración de la fijación,Độ dài cố định (giây),Panjang Penekanan (saat)

# GRAPHICS SETTINGS
LayoutFile,Stilet,ملف نموذجي,Табліца стыляў,,Style Sheets,Φύλλα στυλ,Style Sheets,asettelutiedosto,Fichier de style,,Raspored datoteka,Helaian Gaya,Fogli di stile,,Stijlen,Arkusze stylów,Diretório do jogo « Onde é »,Таблица стилей,Hojas de estilo,Tập tin Định dạng,Helaian Gaya
BackgroundStyle,,,Стыль фону,,,,Background style,,Style de fond,,,,,,,,,Стиль фона,,,
MenuOrientation,Orientimi i menusë (nevojitet rinisja e lojës),إتجاه القائمة,Становішча меню (перазапусціце гульню для актывацыі),菜单方向,Menüorientierung (erfordert Neustart des Spiels),Μενού προσανατολισμού (επανεκκίνηση του παιχνιδιού για να τεθεί σε ισχύ),Menu Orientation (restart game to take effect),valikon suunta,Orientation du menu (nécessite de relancer le jeu),,Orjentacijski meni (restartiraj igru za aktivaciju),Orientasi Menu (memulakan semula permainan untuk berkuatkuasa),Orientazione del menù (è richiesto il riavvio del gioco),,Richting menu (herstart nodig voor activering),Orientacja menu (uruchom ponownie grę),orientacaõ domens,Положение меню (перезапустите игру для активации),Orientación del menú (requiere reiniciar el juego),Phương ngang/dọc của menu (Khởi động lại để có hiệu lực),Orientasi Menu (memulakan semula permainan untuk berkuatkuasa)
BackgroundEnabled,,,Актываваць карцінкі на фоне,,,,Background images enabled,,Fonds d'écran activés,,,,,,,,,Активировать картинки на фоне,,,
DarkTh,,,,,,,Dark Theme,,Thème sombre,,,,,,,,,,,,
Dark,,,Цёмны,,,,Dark,,Sombre,,,,,,,,,Тёмный,Oscuro,,
Light,,,Светлы,,,,Light,,Clair,,,,,,,,,Светлый,Claro,,

# FOLDERS SETTINGS
FileDir,Direktoria,دليل الملف,Каталог файлаў,文件夹,Dateiverzeichnis,Κατάλογος αρχείων,Files Directory,tallennuspaikka,Répertoire des fichiers,,Datoteka,Direktori Fail,Cartella,,Bestands locatie,Katalog plików,Diretório de Arquivos,Каталог файлов,Directorio,Thư mục,Direktori Fail
MusicFolder,Direktoria e muzikës,ملف الموسيقى,Тэчка Музыка,音乐目录,Musikmappe,φάκελος μουσικής,music folder,musiikkikansio,Dossier musiques,,Datoteka Muzika,folder muzik,Cartella musica,,Muziek folder,folder muzyczny,*pasta de musica,Папка Музыка,Carpeta de música,Thư mục âm nhạc,Folder muzik
VideoFolder,,,Тэчка з відэа,视频文件夹,,,Video folder,,Répertoire des vidéos,,,,,,Video map,,,Папка с видео,,,
WhereIsItDirectory,Direktoria “Ku është?”,دليل اللعبة اين هذا؟,Дзе гэта? папка гульні,《它在哪》游戏目录,Spielverzeichnis « Wo ist es? »,Που είναι; Ευρετήριο παιχνιδιών,« Where is it? » Game directory,missä se on-hakemisto,Répertoire du jeu « Où est-ce ? >,,Gdje je? Datoteka igre,« Di mana? » Arahan permainan,"Cartella gioco ""Dov'è?""""artella ",,« Waar is het » Spel bestandslocatie,Gdzie to jest? Katalog gier,Duracaõ de afichagem das perguntas,Где это? папка игры,"Directorio del juego ""¿Donde está?""""irectorio del ",Thư mục game,« Di mana? » Arahan permainan

# STATS SETTINGS
DisableHeatMap,Çaktivizo Heat Map,الغاء خريطة الحرارة,Адключыць цеплавую карту,关闭眼动追踪地图,Deaktivieren Sie die Heat Map,Απενεργοποιήστε το χάρτη θερμότητας,Disable Heat Map,estää lämpökartta,Désactiver la carte de chaleur,,Deaktiviraj mapu za toplinu,Lumpuhkan Peta Haba,Disattiva mappa di calore,,Deactiveer Heat Map,Wyłącz mapę ciepła,Desactivar heatmap,Отключить тепловую карту,Desactivar mapa de calor,Tắt,Lumpuhkan Peta Haba
HeatMapOpacity,,,Празрыстасць цеплавой карты,注视追踪地图透明度,,,Heat map's opacity,,Opacité de la carte de chaleur,,,,,,Transparantie heatmap,,,Прозрачность тепловой карты,,,
HeatMapColors,,,Колеры цеплавой карты,注视追踪地图颜色,,,Heat map's colors,,Couleurs de la carte de chaleur,,,,,,Heatmap kleuren,,,Цвета тепловой карты,,,
EnableAreaOfInterest,Aktivizo Zonën e Interesit,Enable The Area Of Interest, Паказаць зону цікавасці,开启关键注视区,Enable The Area Of Interest,Enable The Area Of Interest,Enable The Area Of Interest,Enable The Area Of Interest,Activer les zones d'intérêt,,Enable The Area Of Interest,Enable The Area Of Interest,Enable The Area Of Interest,Enable The Area Of Interest,Registreer blikrichtingen,Enable The Area Of Interest,Enable The Area Of Interest,Показать зону интереса,Enable The Area Of Interest,Enable The Area Of Interest,Enable The Area Of Interest
EnableConvexHull,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,对关键注视区应用多边形,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Utiliser les enveloppes convexes pour les zones d'intérêt,,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Gebogen lijnen bij registratie blikrichting,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI,Use Convex Hulls for AOI
DisableSequence,Çaktivizo Sequencën e Fiksimit,,Адключыць паслядоўнасць фіксацый,关闭时序标记,,,Disable the Fixation Sequence,,Désactiver la Séquence de fixation,,,,Disattive la sequenza di fissazione,,Deactiveer de Fixatievolgorde,,Desactivar la secuencia de fijación,Отключить последовательность фиксаций,,,
EnableVideoRecording,Aktivizo Video Regjistrimin për Lojën,Enable Game Video Recording,Дазволіць відэазапіс гульняў,开启游戏视频录制,Enable Game Video Recording,Enable Game Video Recording,Enable Game Video Recording,Enable Game Video Recording,Activer l'enregistrement vidéo des jeux,,Enable Game Video Recording,Enable Game Video Recording,Enable Game Video Recording,Enable Game Video Recording,Activeer video-opname van spelletjes,Enable Game Video Recording,Enable Game Video Recording,Разрешить видеозапись игр,Enable Game Video Recording,Enable Game Video Recording,Enable Game Video Recording
EnableMultipleScreenshots,,,,,,,Enable Multiple Screenshots,,Activer les Multiples Captures d'Ecran,,,,,,,,,,,,

# IN-GAME SETTINGS
Volume,Volumi,صوت,Гучнасць,体积,Volumen,Ενταση Ήχου,Volume,Äänenvoimakkuus,Volume,मात्रा,Glasnoća,Jumlah dagangan,Volume,音量,Volume,Tom,Volume,Громкость,Volumen,Âm lượng,Jumlah dagangan
Music,Muzikë,موسيقى,Музыка,音乐,Musik,Μουσική,Music,Musiikki,Musique,संगीत,Muzika,Musik,Musica,音楽,Muziek,Muzyka,Música,Музыка,Música,Âm nhạc,Muzik
Effects,Efektet,تأثيرات,Эфекты,音效,Auswirkungen,Υπάρχοντα,Effects,Tehosteet,Effets,प्रभाव,Efekti,Efek,Effetti,効果,Effecten,Efekty,Efeitos,Эффекты,Efectos,Các hiệu ứng,Kesan
SpeedEffects,Shpejtësia e efekteve,سرعة,Хуткасць анімацыі,动画速度,Weißer Hintergrund,Ταχύτητα επίδρασης,Effect speed,vauhtiefektit,Vitesse des animations,,Brzina animacije,Kelajuan kesan,Velocità delle animazioni,,Snelheid van de effecten,Szybkość efektu,*Velocidade do efeito,Скорость анимации,Velocidad de las animaciones,Tốc độ của hiệu ứng,Kelajuan kesan
Choose size,,,Выберыце памер,选择尺寸,,,Choose size,,Choisis la taille,,,,,,kies maat,,,Выберите размер,,,
ProgressBarSizeAndColor,,,,进度圈尺寸与颜色,,,Progress Bar Size and Color,,Taille et Couleur Bar de Progression,,,,,,,,,,,,
Enter FullScreen,Aktivizo Ekranin e plotë,إدخال كامل الشاشة,Увайсці ў рэжым Поўнага экрана,进入全屏,Vollbildmodus aktivieren,Κατάσταση πλήρους οθόνης,Enter FullScreen,Valitse täysi näyttö,Mettre en plein écran,पूर्ण स्क्रीन दर्ज करें,Povećaj ekran,Masukkan Fullscreen,Attiva modalità schermo intero,フルスクリーンに入る,Toon op volledig scherm,Wlacz pelny ekran,Entrar ao modo pleino ecrà,Войти в режим Полного экрана,Pantalla completa,Vào toàn màn hình,Masukkan Fullscreen
Exit FullScreen,Çaktivizo Ekranin e plotë,الخروج من كامل الشاشة,Выйсці з рэжыму Поўнага экрана,退出全屏,Beenden Sie den Vollbildmodus,Έξοδος από Κατάσταση πλήρους οθόνης,Exit FullScreen,Pois täydestä näytöstä,Sortir du plein écran,पूर्ण स्क्रीन से बाहर निकलें,Smanji ekran,Keluar Fullscreen,Esci da modalità schermo intero,フルスクリーンを終了,Stop tonen op volledig scherm,Wyłączyć tryb pełnoekranowy,Sair do modo pleino ecrà,Выйти из режима Полного экрана,Salir de pantalla completa,Thoát toàn màn hình,Keluar Fullscreen

# CUSTOM FILES CHOOSER
customFileChooser,,,Выбраць персаналізаваную тэчку,,,,Custom file chooser,,Sélecteur de fichiers personnalisés,,,,,,,,,Выбрать персонализированную папку,,,
addNewImages,,,Дадаць выявы,,,,Add new images ...,,Ajouter de nouvelles images ...,,,,,,,,,Добавить изображения,Agregar nuevas imágenes ...,,
addNewImagethumbup,,,Дадаць новую шчаслівую карцінку,,,,Add new image happy ...,,Ajouter de nouvelles image content ...,,,,,,,,,Добавить новую счастливую картинку,Añadir nuevo contenido de la imagen ...,,
addNewImagethumbdown,,,Дадаць новую сумную карцінку,,,,Add new image unhappy...,,Ajouter une nouvelle image pas content ...,,,,,,,,,Добавить новую грустную картинку,Añade nuevas imágenes que no son felices ...,,
addNewImagenocare,,,Дадаць новую карцінку абыякавасці,,,,Add new image don't care...,,Ajouter une nouvelle image s'en fiche ...,,,,,,,,,Добавить новую картинку безразличия,Añadir una nueva imagen no importa ...,,
Remove,Dëshiron të fshish këtë përdorues?,هل تريد فعلا محو المستخدم؟,Вы сапраўды жадаеце выдаліць дадзенага карыстальніка?,确定删除用户,Wollen Sie diesen Benutzer wirklich löschen?,Θέλετε πραγματικά να διαγράψετε αυτόν τον χρήστη;,Do you really want to delete this user ?,poista,Voulez vous vraiment supprimer cet utilisateur ?,,Želiš li zaista obrisati ovog korisnika?,Adakah anda benar-benar mahu memadam pengguna ini?,Vuoi davvero eliminare questo utente?,,Ben je zeker dat je deze gebruiker wil verwijderen?,Czy na pewno chcesz usunąć tego użytkownika?,*Você realmente deseja excluir este usuário?,Вы действительно хотите удалить данного пользователя?,¿Realmente quieres eliminar a este usuario?,Bạn có muốn xóa người dùng này thật không,Adakah anda benar-benar mahu memadam pengguna ini?
YesRemove,Po (fshi),نعم (محو),Так (выдаліць),确定（删除）,Ja (löschen),Ναι (Διαγραφή),Yes (delete),Kyllä poista,Oui (supprimer),,Da (obriši),Ya (padamkan),Si (rimuovi),,Ja (verwijder),Tak (usuń),*Sim (excluir),Да (удалить),Si (eliminar),Có (xóa),Ya (padamkan)
NoCancel,Jo (anullo),لا (الغاء),Не (адмяніць),取消,Nein (Annullierer),Όχι (ακύρωση),No (cancel),Ei kumota,Non (annuler),,Ne (poništi),Tidak (membatalkan),No (annulla),,Nee (annuleer),Nie (anuluj),*Não (cancelar),Нет (отменить),No (anular),Không (quay Lại),Tidak (membatalkan)

# WHERE IS IT? ERROR PATH DIALOG
WhereIsItDirNotConfig,,,Папка для Дзе гэта? ненастроена,,,,Where is it? directory not configured,,Répertoire Où est-ce ? non configuré,,,,,,,,,Папка для Где это? ненастроенна,,,
ConfigWhereIsItDir,,,Налады для Где гэта?,,,,Where is it? configuration,,Configuration du répertoire Où est-ce ?,,,,,,,,,Настройки для Где это?,,,
PickedWrongDir,,,Вы выбралі няправільную тэчку,,,,You picked the wrong directory,,Vous avez choisi le mauvais répertoire,,,,,,,,,Вы выбрали неправильную папку,,,
Done,,,Гатова,,,,Done,,Valider,,,,,,,,,Готово,,,

# STATS CONTEXT
TotalLength,Kohëzgjatja e lojës,وقت اللعب الإجمالي,Агульны час у гульні,总游戏时间,Zeit auf dem Spiel,Συνολικός ενεργός χρόνος παιχνιδιού,Total active playtime,kokonaispituus,Temps de jeu actif,,Ukupno aktivno vrijeme igranja,Jumlah jam bermain aktif,Tempo totale di gioco attivo,遊び時間,Totale actieve speeltijd,Łączny czas odtwarzania,Tempo de jogo activo,Общее время в игре,Tiempo activo de juego,Tổng thời gian chơi,Jumlah jam bermain aktif
Shots,Gjuajtje,رميات,Стрэлы,射击,Schüsse,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Shots,ammuskelu,Tirs,,Pogoci,Tembak,Tiri,射撃,Aantal hits,Pędy,Tiros,Выстрелы,Tiros,Lần bắn,Tembak
HiddenItemsShot,Imazhe të fshehura,الصور المخفية,Страляй у схаваныя прадметы,发现图片,Entdeckte Bilder,Ακάλυπτες εικόνες,Uncovered Images,piileskelevien juttujen ammuskelu,Images découvertes,,Skrivene slike ,Gambar dijumpai,Immagini scoperte,,Ontdek de prenten,Nie odkryte obrazy,Imagens descobstas,Стреляй в скрытые предметы,Imagenes descubiertas,Số hình đã mở,Gambar dijumpai
Score,Pikët,مجموع النقاط,Вынік,得分,,,Score,,Score,,,,Punteggio,,Score,,,Результат,Puntuación,,
HitRate,Raporti i gjuajtjeve,نسبة الطلقات,Каэфіцыент поспеху,成功率,Zum Platzen gebrachte Blasen,Φούσκες έκρηξης,Hit rate,kuplien ammuskelu,Taux de réussite,,Rasprsni mjehuriće,Buih pecah,Rapporto dei tiri,,Aantal hits,Pekniete babelki,Bulha atingido,Коеффициент успеха,Tasa de éxito,tỷ lệ bắn,Buih pecah
Length,Koha aktive e lojës,وقت اللعب الفعلي,Час у гульні,实际游戏时间,Gespielte Zeit,Πραγματικός χρόνος παιχνιδιού,Actual play Time,pituus,Temps effectif de jeu,,Efektivno vrijeme igranja,Masa mainan sebenar,Tempo di gioco effettivo,,Totale speeltijd,Rzeczywisty czas gry,Tempo de jogo efectivo,Время в игре,Tiempo efectivo de juego,Thời gian chơi,Masa mainan sebenar
ShotaverageLength,Koha mesatare e reagimit,معدل وقت رد الفعل,Сярэдні час рэагавання,平均反应时长,Durchschnittliche Reaktionszeit,Μέσος χρόνος αντίδρασης,Average reaction time,laukaisun keskipituus,Temps de réaction moyen,,Prosječno vrijeme reakcije,Masa tindak balas purata,Tempo medio di reazione,,Gemiddelde reactietijd,Średni czas reakcji,Tempo médio de reaçâo,Среднее время реагирования,Tiempo promedio de reaccion,Thời gian phản ứng trung bình,Masa tindak balas purata
AverageLength,Koha mesatare,معدل الوقت,Сярэдні час,平均时长,Durchschnittliche Zeit,Μέσος χρόνος,Average time,keskipituus,Temps moyen,,Prosječo vrijeme,Masa purata,Tempo medio,,Gemiddelde tijd,Średni czas,Tempo médio,Среднее время,Tiempo promedio,Thời gian trung bình,Masa purata
ShotmedianLength,Mediani i kohës së reagimit,متوسط وقت رد الفعل,Медыйны час рэагавання,中位反应时长,Median-Reaktionszeit,Μέση τιμή χρόνου αντίδρασης,Median reaction time,laukaisun mediaanipituus,Temps de réaction médian,,Srednje vrijeme reakcije,Masa reaksi Median,Mediana tempo di reazione,,Mediaan reactietijd,Sredni czasu reakcji,Tempo mediano de reaçâo,Медианное время реагирования,Tiempo medio de reaccion,Giá trị giữa của thời gian phản ứng,Masa reaksi Median
MedianLength,Koha mediane,متوسط الوقت,Медыйны час,中位时长,Median-Zeit,Μέση τιμή χρόνου,Median time,mediaanipituus,Temps médian,,Srednje vrijeme,Masa Median,Mediana tempo,,Mediaan tijd,Sredni czasu,Tempo mediano,Медианное время,Mediana del tiempo,Giá trị giữa của thời gian,Masa Median
StandDev,Shmangia standarte,الانحراف المعياري,Стандартнае адхіленне,标准差,Standardabweichung,Τυπική απόκλιση,Standard deviation,seisia,Écart-type,,Standardno odstupanje,Sisihan piawai,Deviazione standard,,Standaard afwijking,Odchylenie standardowe,Desvio padrão,Стандартное отклонение,Desviación estandar,Độ lệch chuẩn,Sisihan piawai
UncountedShot,Gjuajtje të panumëruara,رميات غير محتسبة,Няўлічаны стрэл,未计数射击,Nicht gezählte Schüsse,Μη καταγεγραμμένοι πυροβολισμοί,Uncounted Shots,laskemattomat laukaisut,Tirs non comptés,,Neubrojeni pogoci,Tembak yang tidak dijangka,Tiri non conteggiati,,Ongetelde hits,Niepoliczony strzal,Tiros nào contabilisados,Неучтенный выстрел,Tiros no contados,Lần bắn ko được tính,Tembak yang tidak dijangka
Mouse,,,Мышка,,,,Mouse,,Souris,,,,,,,,,Мышка,,,
Gaze,,,Погляд,,,,Gaze,,Regard,,,,,,,,,Взгляд,,,
MouseAndGaze,,,Мышка і погляд,,,,Mouse and Gaze,,Souris et Regard,,,,,,,,,Мышка и взгляд,,,

# BERA STATS CONTEXT
TimeGame,,,,,,,Time game,,Temps de jeu,,,,,,,,,,,,
Phonology,,,,,,,PHONOLOGY,,PHONOLOGIE,,,,,,,,,,,,
Morphosyntax,,,,,,,MORPHOSYNTAX,,MORPHOSYNTAXE,,,,,,,,,,,,
Semantic,,,,,,,SEMANTIC,,SEMANTIQUE,,,,,,,,,,,,
WordComprehension,,,,,,,WORD COMPREHENSION,,COMPREHENSION DE MOTS,,,,,,,,,,,,
SentenceComprehension,,,,,,,SENTENCE COMPREHENSION,,COMPREHENSION DE PHRASES,,,,,,,,,,,,
TotalPhonology,,,,,,, - Total Phonology ,, - Total Phonologie ,,,,,,,,,,,,
TotalMorphosyntax,,,,,,, - Total morphosyntax ,, - Total morphosyntaxe ,,,,,,,,,,,,
TotalSemantic,,,,,,, - Total Semantic ,, - Total Sémantique ,,,,,,,,,,,,
TotalWordComprehension,,,,,,, - Total word comprehension ,, - Total compréhension de mots ,,,,,,,,,,,,
TotalSentenceComprehension,,,,,,, - Total sentence comprehension ,, - Total compréhension de phrases ,,,,,,,,,,,,
SimpleScoreItems,,,,,,, - Simple score items ,, - Score items simples ,,,,,,,,,,,,
ComplexScoreItems,,,,,,, - Complex score items ,, - Score items complexes ,,,,,,,,,,,,
ScoreLeftTargetItems,,,,,,, - Score left target items ,, - Score items cibles gauche ,,,,,,,,,,,,
ScoreRightTargetItems,,,,,,, - Score right target items ,, - Score items cibles droite ,,,,,,,,,,,,
FrequentScoreItem,,,,,,, - Frequent score item (F+) ,, - Score items fréquents (F+) ,,,,,,,,,,,,
InfrequentScoreItem,,,,,,, - Infrequent score item (F-) ,, - Score items peu fréquents (F-) ,,,,,,,,,,,,
TotalItemsAddManually,,,,,,, - Total items add manually ,, - Total items ajoutés manuellement ,,,,,,,,,,,,
Total,,,,,,, - Total ,, - Total ,,,,,,,,,,,,

# COLORING GAME
LoadImg,Ngarko Imazhin,تحميل الصورة,Загрузіць малюнак,载入图片,Bild laden,Φόρτωση εικόνας,Load image,lataa,Charger image,,Učitavanje slike ,Muatkan imej,Carica immagine,,Laad foto,Załaduj obraz,*Carregar imagem,Загрузить изображение,Cargar imagen,Load ảnh,Muatkan imej
SaveImg,Ruaj Imazhin,حفظ الصورة,Захаваць малюнак,保存图片,Bild speichern,Αποθήκευση εικόνας,Save image,tallentaa,Sauvegarder image,,Sačuvaj sliku,Menyimpan imej,Salva immagine,,Bewaar foto,Zapisać obraz,*Salvar imagem,Сохранить изображение,Guardar imagen,Lưu ảnh,Menyimpan imej
imgLoadChooserTitle,Zgjidh imazhin për të ngarkuar,اختار الصورة لتحميل,Выберыце малюнак для загрузкі,选择要载入的图片,Wählen Sie Ihr Bild zum Laden,Επιλέξτε την εικόνα που θέλετε να φορτώσετε,Choose your image to load,lataa valitun tiedoston,Choisissez votre image à charger,,Izaberi sliku,Pilih imej anda untuk dimuatkan,Scegli la tua immagine da caricare,,Kies je foto om te laden,Wybierz obraz do załadowania,*Escolha sua imagem para carregar,Выберите изображение для загрузки,Elige tu imagen para cargar,Chọn ảnh để mở,Pilih imej anda untuk dimuatkan
imgSaveChooserTitle,Zgjidh imazhin për të ruajtur,اختيار الصورة للحفظ,Выберыце малюнак для захавання,选择要保存的图片,Wähle dein Bild zum Speichern aus,Επιλέξτε την εικόνα που θέλετε να αποθηκεύσετε,Choose your image to save,tallentaa valitun tiedostin,choisissez votre image à sauvegarder,,Izaberi sliku koju želiš spremiti,Pilih imej anda untuk disimpan,Scegli da tua immagine da salvare,,Kies je foto om te bewaren,Wybierz zdjęcie,które chcesz zapisać,Выберите изображние для сохранения,Elige tu imagen para guardar,Chọn ảnh để lưu,Pilih imej anda untuk disimpan
confirmBWText,Dëshiron të çngjyrosësh imazhin?,هل تريد ازالة لون الصورة؟,Хочаце выдаліць колер малюнак?,确认将图片去色？,Willst du das Bild verfärben,Θέλετε να αποχρωματίσετε την εικόνα,Do you want to discolor the image,varmistaa BW teksti,Voulez-vous décoloriser l'image,,Želiš li promijeniti boju slike?,Adakah anda mahu menghancurkan imej,Vuoi scolorire l'immagine,,Wil je deze kleurplaat terug wit maken?,Czy chcesz odbarwić obraz,*Você quer descolorir a imagem,Хотите обесцветить изображение?,¿Quieres decolorar la imagen?,Bạn có muốn bỏ màu của hình không?,Adakah anda mahu menghancurkan imej
confirmBWTitle,Dëshiron të transformosh në bardhë e zi ?,تحويل الى ابيض و اسود,Пераўтварыць у чорнае і белае?,黑白化图片,In schwarz und weiß verwandeln?,Μετασχηματισμός σε μαύρο και άσπρο;,Transform in black and white ?,varmistaa BW tiedosto,Transformer en noir et blanc ?,,Želiš li pretvoriti sliku u crno-bijelo?,Mengubah dalam warna hitam dan putih?,Trasformare in bianco e nero?,,Omzetten in zwart-wit?,Przekształcić w czerni i bieli?,*Transforme em preto e branco?,Преобразовать в черное и белое?,¿Transformar en blanco y negro?,Chuyển sang chế độ,Mengubah dalam warna hitam dan putih?
